user_id,email,username,password_hash,full_name,age,gender,budget,preferred_crowd_level,preferences,companion_type,created_at,updated_at,is_active,last_login
1,user_1@tourism.local,traveler_1,hashed_password,User 1,42,female,500.0,very_low,"['historical', 'nature', 'food']",friends,2025-03-24 08:57:57.684707,2026-02-10 08:57:57.684707,True,2026-02-10 06:57:57.684707
2,user_2@tourism.local,traveler_2,hashed_password,User 2,28,male,500.0,moderate,"['nature', 'museum', 'beach']",family,2025-04-13 08:57:57.686689,2026-02-10 08:57:57.686689,True,2026-02-10 04:57:57.686689
3,user_3@tourism.local,traveler_3,hashed_password,User 3,36,male,500.0,high,"['beach', 'food']",couple,2025-11-19 08:57:57.686942,2026-02-10 08:57:57.686942,True,2026-02-10 04:57:57.686942
4,user_4@tourism.local,traveler_4,hashed_password,User 4,38,other,500.0,low,"['adventure', 'historical']",family,2025-12-02 08:57:57.688682,2026-02-10 08:57:57.688682,True,2026-02-09 03:57:57.688682
5,user_5@tourism.local,traveler_5,hashed_password,User 5,43,female,500.0,low,"['adventure', 'wellness', 'museum']",family,2025-03-25 08:57:57.690679,2026-02-10 08:57:57.690679,True,2026-02-08 12:57:57.690679
6,user_6@tourism.local,traveler_6,hashed_password,User 6,47,female,500.0,very_low,"['nightlife', 'nature']",solo,2025-11-10 08:57:57.691673,2026-02-10 08:57:57.691673,True,2026-02-08 04:57:57.691673
7,user_7@tourism.local,traveler_7,hashed_password,User 7,61,male,500.0,very_low,"['food', 'nightlife', 'beach']",family,2025-09-26 08:57:57.692935,2026-02-10 08:57:57.692935,True,2026-02-08 12:57:57.692935
8,user_8@tourism.local,traveler_8,hashed_password,User 8,49,male,500.0,low,"['nature', 'cultural']",solo,2025-08-28 08:57:57.693670,2026-02-10 08:57:57.693670,True,2026-02-07 18:57:57.693670
9,user_9@tourism.local,traveler_9,hashed_password,User 9,29,male,500.0,moderate,"['adventure', 'entertainment', 'beach', 'nightlife']",couple,2025-09-21 08:57:57.693670,2026-02-10 08:57:57.694670,True,2026-02-08 00:57:57.694670
10,user_10@tourism.local,traveler_10,hashed_password,User 10,36,female,500.0,moderate,"['nightlife', 'food']",solo,2025-07-12 08:57:57.694670,2026-02-10 08:57:57.694670,True,2026-02-09 15:57:57.694670
11,user_11@tourism.local,traveler_11,hashed_password,User 11,22,female,500.0,very_low,"['wellness', 'nature', 'nightlife']",family,2025-08-18 08:57:57.695665,2026-02-10 08:57:57.696661,True,2026-02-09 12:57:57.696661
12,user_12@tourism.local,traveler_12,hashed_password,User 12,19,female,500.0,low,"['cultural', 'beach']",group,2025-11-13 08:57:57.697660,2026-02-10 08:57:57.697660,True,2026-02-10 06:57:57.697660
13,user_13@tourism.local,traveler_13,hashed_password,User 13,50,male,500.0,moderate,"['food', 'beach']",solo,2025-10-05 08:57:57.701651,2026-02-10 08:57:57.701651,True,2026-02-09 07:57:57.701651
